Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta;
Juvenil Masculino;800m;112,64;2022;Sudamericano Escolar;Klaus Scholz;
Juvenil Masculino;800m;117,76;2022;Sudamericano Escolar;Lucas Jara;
Juvenil Femenino;Salto Largo;5.49 metros;2022;Sudamericano Escolar;María Magdalena Vial;
Juvenil Masculino;Salto Alto;1.9 metros;2022;Sudamericano Escolar;Cristóbal Sahurie;
Juvenil Femenino;Salto Alto;1.65 metros;2022;Sudamericano Escolar;María Amalia Baboun;
Juvenil Femenino;Salto Alto;1.6 metros;2022;Sudamericano Escolar;Catalina Rozas;
Juvenil Masculino;Salto Garrocha;4.4 metros;2022;Sudamericano Escolar;Leonardo Olate;
Juvenil Femenino;Salto Garrocha;3.4 metros;2022;Sudamericano Escolar;Asunción Dreyfus;
Juvenil Femenino;Salto Garrocha;3.15 metros;2022;Sudamericano Escolar;María Magdalena Vial;
Juvenil Masculino;Lanzamiento Martillo;69.07 metros;2022;Sudamericano Escolar;Cipriano Riquelme;
Juvenil Masculino;Lanzamiento Disco;57.64 metros;2022;Sudamericano Escolar;Alan Fell;
Juvenil Masculino;Lanzamiento Bala;15.28 metros;2022;Sudamericano Escolar;Alan Fell;
Juvenil Masculino;Lanzamiento Jabalina;66.25 metros;2022;Sudamericano Escolar;Pablo Frutos;
Juvenil Femenino;Lanzamiento Jabalina;38.53 metros;2022;Sudamericano Escolar;Nimsy Martínez;
Juvenil Masculino;800m;118,87;2024;Sudamericano Escolar;Dante Carvajal;
Juvenil Femenino;800m;137,19;2024;Sudamericano Escolar;Fernanda Pavez;
Juvenil Masculino;Salto Largo;6.77 metros;2024;Sudamericano Escolar;Jia Chen Liu Shi;
Juvenil Masculino;Salto Largo;6.53 metros;2024;Sudamericano Escolar;Benjamín Ruíz;
Juvenil Femenino;Salto Largo;5.67 metros;2024;Sudamericano Escolar;María Gracia Mozo;
Juvenil Femenino;Salto Largo;5.45 metros;2024;Sudamericano Escolar;Jacinta Philipps;
Juvenil Masculino;Salto Alto;2.01 metros;2024;Sudamericano Escolar;Domingo Lorenzini;
